,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons
10,Two Weeks Notice,2002,PG-13,20 Dec 2002,101 min,"Comedy, Romance",Marc Lawrence,Marc Lawrence,"Sandra Bullock, Hugh Grant, Alicia Witt, Dana Ivey","A lawyer decides that she's used too much like a nanny by her boss, so she walks out on him.",English,"USA, Australia",2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BYTg4N2M2ODItZjVjMy00YTljLTllNjUtYzY4ZTE2MTI2M2RhXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.1,"101,820",tt0313737,movie,29 Apr 2003,"$93,300,000",Warner Bros.,N/A,True,,
11,The Shawshank Redemption,1994,R,14 Oct 1994,142 min,Drama,Frank Darabont,"Stephen King (short story ""Rita Hayworth and Shawshank Redemption""), Frank Darabont (screenplay)","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",English,USA,Nominated for 7 Oscars. Another 21 wins & 35 nominations.,https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,9.3,"2,217,195",tt0111161,movie,27 Jan 1998,N/A,Columbia Pictures,N/A,True,,
12,The Bourne Ultimatum,2007,PG-13,03 Aug 2007,115 min,"Action, Mystery, Thriller",Paul Greengrass,"Tony Gilroy (screenplay), Scott Z. Burns (screenplay), George Nolfi (screenplay), Tony Gilroy (screen story), Robert Ludlum (novel)","Matt Damon, Julia Stiles, David Strathairn, Scott Glenn",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,"English, French, Arabic, Russian, Spanish","USA, Germany, France, Spain",Won 3 Oscars. Another 26 wins & 41 nominations.,https://m.media-amazon.com/images/M/MV5BNGNiNmU2YTMtZmU4OS00MjM0LTlmYWUtMjVlYjAzYjE2N2RjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,8.0,"590,271",tt0440963,movie,11 Dec 2007,"$227,400,000",Universal Pictures,N/A,True,,
13,Spider-Man 3,2007,PG-13,04 May 2007,139 min,"Action, Adventure, Sci-Fi",Sam Raimi,"Sam Raimi (screenplay), Ivan Raimi (screenplay), Alvin Sargent (screenplay), Sam Raimi (screen story), Ivan Raimi (screen story), Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book)","Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","English, French",USA,Nominated for 1 BAFTA Film Award. Another 3 wins & 32 nominations.,https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.2,"480,601",tt0413300,movie,30 Oct 2007,"$336,530,303",Sony Pictures,N/A,True,,
14,Yes Man,2008,PG-13,19 Dec 2008,104 min,"Comedy, Romance",Peyton Reed,"Nicholas Stoller (screenplay), Jarrad Paul (screenplay), Andrew Mogel (screenplay), Danny Wallace (book)","Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins","A man challenges himself to say ""yes"" to everything for an entire year.","English, Korean, Estonian","USA, UK",3 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMzBmZTMzYmItNzhhMC00M2FkLWIxMGEtMjIxMjAwNmQ2ZmM4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.8,"322,749",tt1068680,movie,07 Apr 2009,"$97,600,000",Warner Bros. Pictures/Village Roadshow,N/A,True,,
15,Unbroken,2014,PG-13,25 Dec 2014,137 min,"Biography, Drama, Sport, War",Angelina Jolie,"Joel Coen (screenplay), Ethan Coen (screenplay), Richard LaGravenese (screenplay), William Nicholson (screenplay), Laura Hillenbrand (book)","Jack O'Connell, Domhnall Gleeson, Garrett Hedlund, Miyavi","After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.","English, Japanese, Italian",USA,Nominated for 3 Oscars. Another 15 wins & 29 nominations.,https://m.media-amazon.com/images/M/MV5BMTY3ODg2OTgyOF5BMl5BanBnXkFtZTgwODk1OTAwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,7.2,"137,242",tt1809398,movie,24 Mar 2015,"$70,500,647",Universal Pictures,N/A,True,,
16,Training Day,2001,R,05 Oct 2001,122 min,"Crime, Drama, Thriller",Antoine Fuqua,David Ayer,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger","On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes beyond a full work day in training within the narcotics division of the L.A.P.D. with a rogue detective who isn't what he appears to be.","English, Russian, Spanish, Korean, Greek",USA,Won 1 Oscar. Another 17 wins & 23 nominations.,https://m.media-amazon.com/images/M/MV5BMDZkMTUxYWEtMDY5NS00ZTA5LTg3MTItNTlkZWE1YWRjYjMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.7,"370,160",tt0139654,movie,01 Jun 2004,N/A,Warner Bros. Pictures,N/A,True,,
17,The Bourne Identity,2002,PG-13,14 Jun 2002,119 min,"Action, Mystery, Thriller",Doug Liman,"Tony Gilroy (screenplay), W. Blake Herron (screenplay), Robert Ludlum (novel)","Matt Damon, Franka Potente, Chris Cooper, Clive Owen","A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.","English, French, German, Dutch, Italian","USA, Germany, Czech Republic",3 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BM2JkNGU0ZGMtZjVjNS00NjgyLWEyOWYtZmRmZGQyN2IxZjA2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.9,"489,021",tt0258463,movie,21 Jan 2003,"$121,500,000",Universal Pictures,N/A,True,,
18,Superman Returns,2006,PG-13,28 Jun 2006,154 min,"Action, Sci-Fi",Bryan Singer,"Michael Dougherty (screenplay), Dan Harris (screenplay), Bryan Singer (story), Michael Dougherty (story), Dan Harris (story), Jerry Siegel (characters), Joe Shuster (characters)","Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden","Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.","English, German, French",USA,Nominated for 1 Oscar. Another 12 wins & 41 nominations.,https://m.media-amazon.com/images/M/MV5BNzY2ZDQ2MTctYzlhOC00MWJhLTgxMmItMDgzNDQwMDdhOWI2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.0,"265,476",tt0348150,movie,28 Nov 2006,"$200,100,000",Warner Bros. Pictures,N/A,True,,
19,The Tourist,2010,PG-13,10 Dec 2010,103 min,"Action, Adventure, Crime, Mystery, Romance, Thriller",Florian Henckel von Donnersmarck,"Florian Henckel von Donnersmarck (screenplay), Christopher McQuarrie (screenplay), Julian Fellowes (screenplay), Jérôme Salle (motion picture ""Anthony Zimmer"")","Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton","Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.","English, French, Italian, Russian, Spanish","USA, France, Italy, UK",Nominated for 3 Golden Globes. Another 4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTMyMzc3OTkwMV5BMl5BanBnXkFtZTcwMjc0MTgwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,6.0,"214,019",tt1243957,movie,22 Mar 2011,"$67,631,157",Columbia Pictures,N/A,True,,
20,The Purge: Anarchy,2014,R,18 Jul 2014,103 min,"Action, Horror, Sci-Fi, Thriller",James DeMonaco,"James DeMonaco, James DeMonaco (characters created by)","Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez","Three groups of people intertwine and are left stranded in the streets on Purge Night, trying to survive the chaos and violence that occurs.",English,"USA, France",3 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMjE2ODMxMTk1Nl5BMl5BanBnXkFtZTgwMDEzNjEzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.4,"131,164",tt2975578,movie,21 Oct 2014,N/A,Universal Pictures,N/A,True,,
21,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
22,What a Girl Wants,2003,PG,04 Apr 2003,105 min,"Comedy, Drama, Family, Romance",Dennie Gordon,"William Douglas-Home (play), William Douglas-Home, Jenny Bicks (screenplay), Elizabeth Chandler (screenplay)","Amanda Bynes, Colin Firth, Kelly Preston, Eileen Atkins","An American teenager learns that her father is a wealthy British politician running for office. Although she is eager to find him, she realizes it could cause a scandal and cost him the election.",English,"USA, UK",1 win.,https://m.media-amazon.com/images/M/MV5BOTllOWQyNzktMTE5OS00NzJkLTgyYjUtNjIwY2Y4OThhNjgxL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.8,"56,893",tt0286788,movie,05 Aug 2003,"$35,990,505",Warner Bros. Pictures,N/A,True,,
23,Arashi's Diary: Voyage,2019,N/A,31 Dec 2019,N/A,"Documentary, Music",N/A,N/A,Arashi,"Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNzVkMmMwZmUtMjdiOC00OTBkLTgxYjQtZGIxOWVhYTUwYzE2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11434874,series,,,,,True,,N/A
24,Marsman,2014–,N/A,25 Mar 2014,N/A,Drama,N/A,N/A,"Jurgen Delnaet, David Cantens, Robbie Cleiren, Tom Audenaert","Marsman tells the story of 40-year-old Nico Marsman, who takes care of his autistic brother after the death of their mother.",Dutch,Belgium,3 wins.,https://m.media-amazon.com/images/M/MV5BNjAwODYyMDgwOF5BMl5BanBnXkFtZTgwMzEwMTAyMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,139,tt3396596,series,,,,,True,,N/A
25,Power Rangers Beast Morphers,2019–2020,TV-Y7,02 Mar 2019,21 min,"Action, Adventure, Drama, Sci-Fi, Thriller",N/A,Haim Saban,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez","Set in the future, a secret agency combines a newly discovered substance called ""Morph-X"" with animal DNA to create the Power Rangers Beast Morphers team.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZmE3MDJmZGItNzUwYi00NDk1LTgyYWMtNTNmYTI5OWM4ZDA5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,238,tt8022978,series,,,,,True,,1
26,Vikings,2013–,TV-MA,03 Mar 2013,44 min,"Action, Adventure, Drama, History, Romance, War",N/A,Michael Hirst,"Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","French, Arabic, Greek,  Ancient (to 1453), English, Old English, Norse,  Old, Latin","Ireland, Canada",Nominated for 13 Primetime Emmys. Another 32 wins & 97 nominations.,https://m.media-amazon.com/images/M/MV5BNjIzZjljZmQtOGNiYi00YmY2LWE1MGYtN2VlMmEyZDBlMzRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,"380,108",tt2306299,series,,,,,True,,6
27,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
28,How to Get Away with Murder: The Dominic Ford Gay Porn Parody,2016,N/A,N/A,90 min,N/A,Dominic Ford,N/A,"Jay Alexander, Osiris Blade, Adam Bryant, Javier Cruz",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt6049636,movie,N/A,N/A,N/A,N/A,True,,
29,Le origini di Gomorra,2014,N/A,02 Oct 2014,N/A,Documentary,Luigi Pingitore,Luigi Pingitore (screenplay),Ivan Castiglione,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNjE0ZTU5YjAtMmFmMi00ZTM4LWE3N2UtNmU0Y2U0ZTFkNzkzXkEyXkFqcGdeQXVyNjc5NDA2MzU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt3765016,movie,N/A,N/A,N/A,N/A,True,,
30,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
31,The New Adventures of Lassie,2014–,N/A,23 Feb 2014,22 min,"Animation, Adventure, Comedy",N/A,Jill Brett,"Matthew Géczy, Louis Dussol, Nathalie Homs, Martial Le Minoux","An animated update of the classic series by Eric Knight, that brought Lassie into the 21st century.",English,"India, Germany, USA, France",N/A,https://m.media-amazon.com/images/M/MV5BN2MyYTZiZTktZTBlNC00MDJhLThmOGEtZTc3NmE2ZmQ2Y2U4XkEyXkFqcGdeQXVyMTE4ODk5NjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,34,tt3636094,series,,,,,True,,1
32,Messiah,2020–,TV-MA,01 Jan 2020,43 min,"Drama, Mystery, Thriller",N/A,Michael Petroni,"Michelle Monaghan, Mehdi Dehbi, John Ortiz, Tomer Sisley","When a CIA officer investigates a man, and his followers, attracting international attention through acts of public disruption, she embarks on a global high-stakes mission to uncover whether he is a divine entity, or a deceptive con artist.","Arabic, Hebrew, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BN2E2NzRmZmYtZmJlOC00NmJmLWE2NzktOGZlYzdjNTM0ZmI4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"30,416",tt7671598,series,,,,,True,,1
33,Spinning Out,2020,TV-MA,01 Jan 2020,48 min,"Drama, Sport",N/A,Samantha Stratton,"Kaya Scodelario, January Jones, Willow Shields, Evan Roderick","A figure skating Olympic hopeful's struggle to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzc1MjM5ODgtZGNlYy00ZjhjLTk3MGItYTJiZWMwYWNkOWY0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"6,972",tt9117054,series,,,,,True,,1
34,Inspector Gadget,2015–,TV-Y,27 Mar 2015,22 min,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",N/A,N/A,"Ivan Sherry, Tara Strong, Martin Roach, Scott McCord","When Dr. Claw returns, Inspector Gadget is brought out of retirement to defeat him again, now with Penny and Brain's open participation.",English,"Canada, USA",2 nominations.,https://m.media-amazon.com/images/M/MV5BMjBhMTk4ZDYtMWMyYS00ZTE2LTgwYmUtZDk2NWNjYzliZTEyXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,330,tt3910690,series,,,,,True,,2
35,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
36,The Degenerates,2018–,N/A,30 Oct 2018,30 min,Comedy,N/A,N/A,"Joey Diaz, Jay Oakerson, Christina Pazsitzky, Yamaneika Saunders","A series of no-holds-barred comedy from the likes of rising comics like Big Jay Oakerson, Joey Diaz, Liza Treyger, Yamaneika Saunders, Christina P. and Brad Williams.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMjU1ZjE3YWUtY2Q1YS00MDI4LTg0MTItMmZjM2Y5YWY5YTUwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,525,tt9077196,series,,,,,True,,1
37,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
38,Rainbow Ruby,2016–,N/A,23 Apr 2016,11 min,"Animation, Comedy, Family, Fantasy",N/A,N/A,"Johnny Yong Bosch, Shannon Chan-Kent, Brian Drummond, Kate Higgins","Rainbow Ruby comes to the rescue whenever a doll friend needs help! When Choco's heart starts to glow, she knows it's time for a magical journey into Rainbow Village. With the help of her ...",N/A,"South Korea, Canada, USA, China",N/A,https://m.media-amazon.com/images/M/MV5BNTM2ZjIxMmEtOGM1ZC00Y2U4LTk1NTQtMmFjMDBjMjlmMjk3XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,31,tt5828144,series,,,,,True,,N/A
39,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
