,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons
10,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
11,The Last Hour,2017,N/A,14 Sep 2017,117 min,"Drama, History, Thriller",Eduardo Mendoza de Echave,Eduardo Mendoza de Echave,"Nidia Bermejo, Katerina D'Onofrio, Pietro Sibille, Miguel Vargas","Two Peruvian detectives must capture Abimael Guzman, the leader of terrorist organization Shining Path, but their intense and complex relationship will endanger their mission and their lives, in the midst of violent Lima of 1992.",Spanish,"Chile, Peru",N/A,https://m.media-amazon.com/images/M/MV5BMjk0ZDdjOGEtNjQxZi00NzA5LTkxOGYtNjI5ZWM5MTA3OThkXkEyXkFqcGdeQXVyNDE3NTQ2ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,300,tt7370000,movie,N/A,N/A,N/A,N/A,True,,
12,Lust Stories,2018,N/A,15 Jun 2018,120 min,"Drama, Romance","Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap","Radhika Apte (segment), Dibakar Banerjee (segment), Anurag Kashyap (segment), Ruchika Oberoi (segment), Sumit Saxena (segment)","Radhika Apte, Bhumi Pednekar, Kiara Advani, Vicky Kaushal","Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.",Hindi,India,2 nominations.,https://m.media-amazon.com/images/M/MV5BMTgwNTQ4NDAyN15BMl5BanBnXkFtZTgwNjMwMzQ3NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.5,"8,534",tt8439854,movie,15 Jun 2018,N/A,N/A,N/A,True,,
13,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
14,Champions,2018,N/A,06 Apr 2018,124 min,"Comedy, Drama, Sport",Javier Fesser,"David Marqués, Javier Fesser, David Marqués (original story)","Javier Gutiérrez, Athenea Mata, Juan Margallo, José de Luna","A basketball coach is sentenced to community service, forced to work with a team of mentally disabled players.","Spanish, None",Spain,13 wins & 31 nominations.,https://m.media-amazon.com/images/M/MV5BYTU1MzMxYTAtNDg2Yy00ODhjLWEzZDctMTU3YmI2NDg5YjE5XkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,7.2,"7,649",tt6793580,movie,N/A,N/A,Well Go USA Entertainment,N/A,True,,
15,The Sense8 Experience,2017,N/A,12 May 2017,4 min,Short,Josh Oreck,N/A,"Aml Ameen, Doona Bae, Jamie Clayton, Tina Desai",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjkzYzhjNWYtNmI0OS00NWI0LWI3NDktZTVlOGM5NmU3YzMwXkEyXkFqcGdeQXVyODA1NjQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,590,tt7529060,movie,N/A,N/A,N/A,N/A,True,,
16,Marcella,2016–,TV-MA,04 Apr 2016,45 min,"Crime, Drama, Mystery",N/A,"Hans Rosenfeldt, Nicola Larder","Anna Friel, Ray Panthaki, Jack Doolan, Jamie Bamber","Marcella Backland left the Metropolitan Police for the sake of her family, only to have her husband leave her. She returns to her job on the murder squad, investigating a case that seems disturbingly familiar to her.",English,UK,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMDYxNTVlNmYtOWY1Mi00ZDkzLWJjMDItNDlmODZkMjhkOTQyXkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"17,975",tt5269594,series,,,,,True,,2
17,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
18,Alex Strangelove,2018,TV-MA,08 Jun 2018,99 min,"Comedy, Drama, Romance",Craig Johnson,Craig Johnson,"Michael Abela, Daniel Doheny, Brendan Archer, Gianna Jean","Alex, high school class president, nerd and a straight A student, has been dating Claire a long time. They decide to sleep together but then he meets a gay guy and he's confused.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjQ4MjIxOTYyNF5BMl5BanBnXkFtZTgwMTc3MDg0NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.3,"13,016",tt5688996,movie,08 Jun 2018,N/A,Netflix,N/A,True,,
19,The Staircase,2018,N/A,01 Jan 2018,N/A,"Short, Drama",Céleste Dela,N/A,"Xander Turian, Hal Rothwell, Karin Torbjörnsdóttir",N/A,English,Czech Republic,N/A,N/A,[],N/A,N/A,N/A,tt7651590,movie,N/A,N/A,N/A,N/A,True,,
20,The Hollow,2018–2020,TV-Y7-FV,08 Jun 2018,24 min,"Animation, Drama, Family, Mystery, Sci-Fi",N/A,N/A,"Ashleigh Ball, Franciska Friede, Connor Parnall, Adrian Petriw",Three teen strangers awaken in a dangerous world and try to make sense of what connection they have to each other as they attempt to make it out alive.,English,Canada,6 nominations.,https://m.media-amazon.com/images/M/MV5BM2ViZGVkMjQtMzRiNS00ODBiLWJlMzgtMDZkZjkzNWE0NjcxXkEyXkFqcGdeQXVyNTEzMzcwNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"2,515",tt6193336,series,,,,,True,,N/A
21,Franco Escamilla: Por la anécdota,2018,N/A,08 Jun 2018,66 min,Comedy,Ulises Valencia,Franco Escamilla,Franco Escamilla,N/A,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BZTRkOWZkYzktOGFmZC00N2ViLTljN2EtMGUxM2IxZjQzMmE0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,135,tt8467922,movie,N/A,N/A,N/A,N/A,True,,
22,Dirt,2017,N/A,N/A,80 min,Thriller,Dylan Levine,Dylan Levine,"Tatiana Kaptan, Zachary Storey, Aleksandr Loginov","While at her family's superstitious cabin, a young Ukrainian woman and her American boyfriend's relationship-mending getaway is hindered when they find a severed finger in the woods and try to solve its mystery.","English, Russian","USA, Ukraine",N/A,https://m.media-amazon.com/images/M/MV5BYzZlYTQ0ZGUtMGRlYS00NjA2LTliZTItNDgxMTkzNzA0NmQxXkEyXkFqcGdeQXVyNDc5OTM2Nw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt6870682,movie,N/A,N/A,N/A,N/A,True,,
23,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
24,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
25,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
26,Magic Mike,2012,R,29 Jun 2012,110 min,"Comedy, Drama",Steven Soderbergh,Reid Carolin,"Matthew McConaughey, Channing Tatum, Olivia Munn, Alex Pettyfer","A male stripper teaches a younger performer how to party, pick up women, and make easy money.",English,USA,9 wins & 14 nominations.,https://m.media-amazon.com/images/M/MV5BMTQzMDMzOTA5M15BMl5BanBnXkFtZTcwMjc4MTg4Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.1,"127,130",tt1915581,movie,23 Oct 2012,"$113,709,992",Warner Bros. Pictures,N/A,True,,
27,"Inside-Out, Outside-In",2018,N/A,N/A,N/A,Mystery,Hunter Lee Hughes,Hunter Lee Hughes,N/A,An experimental theater director and his leading man suspect they are reincarnations of monks from an ancient and mysterious monastery.,N/A,USA,N/A,N/A,[],N/A,N/A,N/A,tt5281650,movie,N/A,N/A,N/A,N/A,True,,
28,Something in the Rain,2018,N/A,30 Mar 2018,75 min,"Drama, Romance",N/A,N/A,"Ye-jin Son, Hae-In Jung, Min-Kyung Joo","Yoon Jin Ah is a woman in her mid-30s who doesn't know yet what it's like to date a man. She's been dumped by a man many times because of her clumsy, reckless and foolish behavior. And ...",Korean,South Korea,3 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BNmM4ZjUwZDctZTlhYS00NDM3LTgxOTMtNDU0ZmM2YmY4M2I4XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"2,043",tt8078816,series,,,,,True,,1
29,"Love, Rosie",2014,R,22 Oct 2014,102 min,"Comedy, Romance",Christian Ditter,"Juliette Towhidi (screenplay), Cecelia Ahern (novel)","Lily Collins, Sam Claflin, Christian Cooke, Jaime Winstone","Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies.",English,"Germany, UK",N/A,https://m.media-amazon.com/images/M/MV5BMTk0Mzg1MTU1MF5BMl5BanBnXkFtZTgwMjU3ODI2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,7.2,"112,485",tt1638002,movie,05 May 2015,N/A,Film Arcade,N/A,True,,
30,November 13: Attack on Paris,2018,N/A,01 Jun 2018,55 min,Documentary,N/A,N/A,"Barouyr, Benoit, Philippe Boutinaud, Bernard Cazeneuve","Documentary chronicling the terrorist attacks in Paris on November 13, 2015.",French,France,N/A,https://m.media-amazon.com/images/M/MV5BOGMxYjQ5YzYtNzA3YS00MGQzLWIyNDEtODdhMTA0MjlhOWM5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"1,469",tt8194716,series,,,,,True,,N/A
31,100% Hotter,2016–,N/A,08 Jun 2016,60 min,Reality-TV,N/A,N/A,"Daniel Palmer, Melissa Sophia, Karen Williams, Zoe Hardman","A make-under rather than a make-over show, targeting people whose style is so in your face you cannot help stop and stare while their family and friends squirm with embarrassment.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BODQxY2FkMjMtZTg2OC00OTJmLTg0ZTItZGE3MjExMmE3OTUzXkEyXkFqcGdeQXVyNzIwNDMyODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,724,tt5819414,series,,,,,True,,2
32,Sniffer the Investigation Officer,2016–,N/A,22 Oct 2016,44 min,Drama,N/A,N/A,"Hiroshi Abe, Teruyuki Kagawa, Haruka Igawa, Yuka Itaya","""My nose is never wrong"". Hanaoka Shinichiro's other name is ""The Sniffer"". He is a consultant who only solves particular important criminal cases. Once Hanaoka gets a whiff, he can uncover...",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BZmRmNmMxMDMtZTU5NS00YzcwLWIxNTItNmQ4Y2I3NWViOTMwXkEyXkFqcGdeQXVyMzQ5MzAyMzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,18,tt5905072,series,,,,,True,,1
33,The Breadwinner,2017,PG-13,17 Nov 2017,94 min,"Animation, Drama, Family, War",Nora Twomey,"Anita Doron (screenplay), Deborah Ellis (screen story), Deborah Ellis (based on the book by)","Saara Chaudry, Soma Chhaya, Noorin Gulamgaus, Laara Sadiq","In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.",English,"Ireland, Canada, Luxembourg, USA, UK, Philippines, India",Nominated for 1 Oscar. Another 19 wins & 52 nominations.,https://m.media-amazon.com/images/M/MV5BMWM2MzQ4YTAtMTBkZS00ODA1LWFmNTEtMjEwNzk3ZGJiZDc3XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.7,"16,850",tt3901826,movie,06 Mar 2018,"$228,056",N/A,N/A,True,,
34,Beach Rats,2017,R,25 Jan 2018,98 min,Drama,Eliza Hittman,Eliza Hittman,"Harris Dickinson, Madeline Weinstein, Kate Hodge, Neal Huff",A Brooklyn teenager spends his days experimenting with drugs and looking online for older men to meet with.,English,USA,12 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BZmZiM2RmMWUtNjcyZi00ZDcxLWE3ZjktY2VlYTk3Y2I0NTZjXkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,6.4,"10,745",tt6303866,movie,21 Nov 2017,"$457,847",NEON,N/A,True,,
35,Pedal the World,2015,N/A,29 Oct 2015,80 min,Documentary,Felix Starck,N/A,Felix Starck,"Young millennial German fueled by wanderlust and a lack of real world responsibilities travels the globe by bike, peddling across 22 countries and over 20,000 kms to find meaning in life. ...","German, English",Germany,N/A,https://m.media-amazon.com/images/M/MV5BOTIyZGJlYTUtOWZkMS00YTIwLWI1MTAtZDEyZTRlOGJmYTgzXkEyXkFqcGdeQXVyNjg1NjkyOTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,454,tt6020164,movie,N/A,N/A,N/A,N/A,True,,
36,The Remains of the Day,1993,PG,19 Nov 1993,134 min,"Drama, Romance",James Ivory,"Kazuo Ishiguro (novel), Ruth Prawer Jhabvala (screenplay)","John Haycraft, Christopher Reeve, Anthony Hopkins, Emma Thompson",A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,"English, French, German","USA, UK",Nominated for 8 Oscars. Another 17 wins & 32 nominations.,https://m.media-amazon.com/images/M/MV5BNDYwOThlMDAtYWUwMS00MjY5LTliMGUtZWFiYTA5MjYwZDAyXkEyXkFqcGdeQXVyNjY1NTQ0NDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.8,"61,308",tt0107943,movie,06 Nov 2001,N/A,Sony Pictures Home Entertainment,N/A,True,,
37,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
38,Legion,2010,R,22 Jan 2010,100 min,"Action, Adventure, Fantasy, History, Horror, Sci-Fi",Scott Stewart,"Peter Schink, Scott Stewart","Paul Bettany, Lucas Black, Tyrese Gibson, Adrianne Palicki","When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTMzNDg4NjYxOV5BMl5BanBnXkFtZTcwODQyNDg3Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.2,"95,814",tt1038686,movie,11 May 2010,"$40,168,080",Screen Gems,N/A,True,,
39,Trust,2010,R,28 Apr 2011,106 min,"Crime, Drama, Thriller",David Schwimmer,"Andy Bellin, Robert Festinger","Clive Owen, Catherine Keener, Liana Liberato, Jason Clarke",A teenage girl is targeted by an online sexual predator.,English,USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMzM2Mjc0Nzc4NF5BMl5BanBnXkFtZTcwNDk0MjY0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.9,"40,187",tt1529572,movie,26 Jul 2011,"$117,623",Millenium Entertainment,N/A,True,,
40,Robin Hood: Men in Tights,1993,PG-13,28 Jul 1993,104 min,"Adventure, Comedy, Musical, Romance",Mel Brooks,"J.D. Shapiro (story), Evan Chandler (story), Mel Brooks (screenplay), Evan Chandler (screenplay), J.D. Shapiro (screenplay)","Cary Elwes, Richard Lewis, Roger Rees, Amy Yasbeck","A spoof of Robin Hood in general, and Robin Hood: Prince of Thieves (1991) in particular.",English,"France, USA",1 nomination.,https://m.media-amazon.com/images/M/MV5BZGYyNmU2NmEtNGU1ZS00YjFkLWI0MWQtZjU2MmUxZDAyN2UxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.7,"111,627",tt0107977,movie,04 Apr 2006,N/A,Twentieth Century Fox Home Entertainment,N/A,True,,
41,This Is It,2009,PG,28 Oct 2009,111 min,"Documentary, Drama, Music",Kenny Ortega,N/A,"Michael Jackson, Alex Al, Alexandra Apjarova, Nick Bass","A compilation of interviews, rehearsals, and backstage footage of Michael Jackson as he prepared for his series of sold-out shows in London.",English,USA,7 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMTI3Njc5NjQ4MV5BMl5BanBnXkFtZTcwNTQ4NTI4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.2,"37,518",tt1477715,movie,26 Jan 2010,"$71,844,424",Sony Pictures/Columbia Pictures,N/A,True,,
42,Spotlight,2015,R,20 Nov 2015,129 min,"Biography, Crime, Drama",Tom McCarthy,"Josh Singer, Tom McCarthy","Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",English,USA,Won 2 Oscars. Another 123 wins & 141 nominations.,https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",93,8.1,"389,080",tt1895587,movie,23 Feb 2016,N/A,Open Road Films,N/A,True,,
43,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
44,Trollhunters: Tales of Arcadia,2016–2018,TV-Y7,23 Dec 2016,23 min,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy",N/A,Guillermo del Toro,"Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer","An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.",English,"USA, Mexico",18 wins & 25 nominations.,https://m.media-amazon.com/images/M/MV5BN2Y2YWE0ZDMtNzQzMC00MDI0LThlZjAtMWY4YjZlYWM2OWFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"11,543",tt1734135,series,,,,,True,,3
45,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,TV-14,25 May 2018,74 min,Comedy,Marcus Raboy,"Steve Martin, Martin Short","Steve Martin, Martin Short, Jeff Babko","Comedians and writers Steve Martin and Martin Short perform a live comedy set with music by The Steep Canyon Rangers and jazz pianist, Jeff Babko, at the Peace Center in Greenville, South Carolina.",English,USA,Nominated for 4 Primetime Emmys. Another 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTI5ZjQzNzktYTk2OS00ZWFiLWFlMjctNGZjMTU3NjAyMjEyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.1,"1,984",tt8075256,movie,25 May 2018,N/A,Netflix,N/A,True,,
46,Ibiza,2018,TV-MA,25 May 2018,94 min,"Comedy, Romance",Alex Richanbach,Lauryn Kahn,"Gwen Elizabeth Duchon, Gillian Jacobs, Michaela Watkins, Phoebe Robinson",A young American woman and her two best friends seek out a hot DJ in Spain.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTczMTA5ODMxOV5BMl5BanBnXkFtZTgwNTgwNDkzNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,5.2,"13,947",tt3685236,movie,25 May 2018,N/A,Netflix,N/A,True,,
47,Fauda,2015–,TV-MA,15 Feb 2015,60 min,"Action, Drama, Thriller",N/A,"Avi Issacharoff, Lior Raz","Lior Raz, Itzik Cohen, Neta Garty, Rona-Lee Shim'on",The human stories on both sides of the Israel-Palestine conflict.,"Hebrew, Arabic",Israel,13 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BZTk5OTU5Y2EtY2M1NC00N2E5LWJlMTMtODgzMDc2NDk1MTczXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"11,397",tt4565380,series,,,,,True,,3
48,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
49,Tig Notaro: Happy To Be Here,2018,TV-14,22 May 2018,58 min,Comedy,Tig Notaro,Tig Notaro,"Indigo Girls, Tig Notaro, Amy Ray, Emily Saliers",Comedian Tig Notaro performs a stand-up set at the historic Heights Theater in Houston.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNWQxMDgzYjAtZTZkOS00MWM2LWIxNTUtZTUwYmUxMWQ0NzM1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.5,833,tt8342946,movie,22 May 2018,N/A,Netflix,N/A,True,,
