,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
10,El Chapo,2017–,TV-MA,23 Apr 2017,43 min,"Crime, Drama",N/A,"Silvana Aguirre, Carlos Contreras","Marco de la O, Humberto Busto, Diego Vásquez, Juan Carlos Cruz","A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power of during the '90s and his ultimate downfall in 2016.",Spanish,"Mexico, USA",1 win.,https://m.media-amazon.com/images/M/MV5BZjlhNjE5MTktMjk3Mi00MWE5LTkyMjEtOTQ2N2RkZjg3MzA2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"12,621",tt6692188,series,,,,,True,3,
11,Welcome to the Family,2018–2019,TV-MA,22 Jan 2018,N/A,Comedy,N/A,"Pau Freixas, Ivan Mercadé","Melani Olivares, Ivan Massagué, Yolanda Ramos, Nao Albet","When an evicted single mom's estranged father dies, she and his second wife cover up his death after learning they've been written out of his will.",Catalan,Spain,N/A,https://m.media-amazon.com/images/M/MV5BMmI3NjM5ZjEtMTBmNC00M2VlLTg4NjktMzFiOTk0NGY5YmM5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,245,tt7490342,series,,,,,True,2,
12,The Bleeding Edge,2018,TV-14,27 Jul 2018,99 min,Documentary,Kirby Dick,"Kirby Dick, Amy Ziering (additional writing)","Robert Bridges, Angie Firmalino, Rita Redberg, Stephen Tower",A look at the unforeseen consequences of advanced technological devices used in the medical field.,English,"Australia, USA",2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BN2M4YWRkZDgtNjZlZC00YTJkLTk0Y2QtNDM4ODcyMzViNjAwXkEyXkFqcGdeQXVyMjk1MzI1ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.7,"1,919",tt8106576,movie,27 Jul 2018,N/A,Netflix,N/A,True,,
13,Extinction,2018,TV-MA,27 Jul 2018,95 min,"Action, Drama, Sci-Fi, Thriller",Ben Young,"Spenser Cohen (screenplay by), Brad Kane (screenplay by), Spenser Cohen (story by)","Michael Peña, Lizzy Caplan, Amelia Crouch, Erica Tremblay","A father has a recurring dream of losing his family. His nightmare turns into reality when the planet is invaded by a force bent on destruction. Fighting for their lives, he comes to realize an unknown strength to keep them safe from harm.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTU5OTYzMzcwOF5BMl5BanBnXkFtZTgwNTkzMzk4NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.8,"41,623",tt3201640,movie,27 Jul 2018,N/A,Netflix,N/A,True,,
14,Smoking,2018–,N/A,20 Apr 2018,N/A,Crime,N/A,N/A,"Rin Furukawa, Ryo Ishibashi, Nobuaki Kaneko, Tomomi Maruyama","Seeking a greater justice, a band of homeless assassins flays their human targets and delivers the tattooed skins as proof of a contract fulfilled.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMWE4MWYzNGItMDY5Zi00OGYyLThiNGEtZTMwMTgwYzhlMTQ0XkEyXkFqcGdeQXVyMjk1MzI1ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,176,tt8758778,series,,,,,True,1,
15,Catch and Release,2006,PG-13,26 Jan 2007,124 min,"Comedy, Drama, Romance",Susannah Grant,Susannah Grant,"Jennifer Garner, Timothy Olyphant, Sam Jaeger, Kevin Smith",A woman struggles to accept the death of her fiancé and the secrets he kept from her as she rebuilds her life.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTk2NjU1MjMyNV5BMl5BanBnXkFtZTcwMzc5NjE0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.0,"22,656",tt0395495,movie,08 May 2007,"$15,269,668",Sony Pictures Entertainment,N/A,True,,
16,Waterschool,2018,N/A,20 Jan 2018,N/A,Documentary,Tiffanie Hsu,N/A,N/A,"Six girls living along the Amazon, Nile, Mississippi, Danube, Ganges, and Yangtze rivers learn about water and sustainability and use their newfound education to protect their communities and homes.","English, Portuguese, Hindi, Mandarin, German","USA, Brazil, India, Uganda, China",N/A,https://m.media-amazon.com/images/M/MV5BYjRiODI2NGMtOTlkOS00YzU5LWEwNWYtMzVmODJiM2Y3YzQ1XkEyXkFqcGdeQXVyMTYyNDM3Nzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,51,tt7974234,movie,N/A,N/A,N/A,N/A,True,,
17,Iliza: Elder Millennial,2018,TV-MA,24 Jul 2018,72 min,Comedy,Steve Paley,Iliza Shlesinger,"Hunter Hill, Iliza Shlesinger","Newly engaged comic Iliza Shlesinger dives into undeniable truths about life at age 35, the insanity of the road traveled and what's to come.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTE2ZmFmYTctOGQyNy00OGNkLTgxYWMtYTVlYzMyMzAyZGRiXkEyXkFqcGdeQXVyNzE3MDkxODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,7.2,"2,904",tt8697266,movie,24 Jul 2018,N/A,Netflix,N/A,True,,
18,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
19,The Devil and Father Amorth,2017,Not Rated,20 Apr 2018,68 min,"Documentary, Horror",William Friedkin,"William Friedkin, Mark Kermode","Gabriele Amorth, Robert Barron, William Friedkin",Father Gabriele Amorth performs his ninth exorcism on an Italian woman.,"English, Italian","Italy, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjIxMTUyNjQ2NV5BMl5BanBnXkFtZTgwMDI0OTg5NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,4.6,"1,570",tt6883152,movie,N/A,N/A,N/A,N/A,True,,
20,Lego House: Home of the Brick,2018,N/A,15 Jun 2018,47 min,Documentary,Anders Falck,N/A,Bjarke Ingels,"In Billund, Denmark, a nearly 130,000-square-foot house inspired by the iconic LEGO bricks is constructed, capturing the awe of kids of all ages.",English,N/A,1 win.,https://m.media-amazon.com/images/M/MV5BYTVjNzE1YzktN2VkZC00YTQxLTg1NjUtMWY5MmUwYTdkYjYxXkEyXkFqcGdeQXVyMjk1MzI1ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,242,tt8726442,movie,N/A,N/A,N/A,N/A,True,,
21,Merlin,2012–,N/A,27 Oct 2012,N/A,Fantasy,N/A,N/A,"Gérard Jugnot, Joséphine de Meaux, Marilou Berry, Arthur Molinier",N/A,French,France,N/A,https://m.media-amazon.com/images/M/MV5BMDMwZDAyYjItZTA1Ni00NTllLWIxNDEtMWI3NmU2ZjM3OTk3XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,32,tt4327780,series,,,,,True,N/A,
22,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
23,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
24,Amazing Interiors,2018–,TV-PG,20 Jul 2018,N/A,Documentary,N/A,Paul Woolf,"Wesley Cannon, Nicholas Laschkewitsch, Will Pemble, John Teall",Tours through houses with interesting and special interiors.,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BNmI2YzI1ZDUtZDcxNS00ODQwLWIzMDgtOTMwMTg1MjhmMDJhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,524,tt8747342,series,,,,,True,1,
25,Father of the Year,2018,TV-14,20 Jul 2018,94 min,Comedy,Tyler Spindel,"Brandon Cournoyer, Tyler Spindel","David Spade, Nat Faxon, Joey Bragg, Matt Shively","Before NYC, college valedictorian Ben visits his trailer park loser dad. Same evening Ben argues with Larry about whose dad can kick the other dad's ass. Loser dad hears of this and tries to beat up doormat dad and chaos follows.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTMzNjE4NjE2MV5BMl5BanBnXkFtZTgwOTc1NjE4NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.2,"8,634",tt7256866,movie,20 Jul 2018,N/A,Netflix,N/A,True,,
26,Zoe,2018,R,20 Jul 2018,104 min,"Romance, Sci-Fi",Drake Doremus,"Richard Greenberg (screenplay by), Richard Greenberg (story by), Drake Doremus (story by)","Ewan McGregor, Léa Seydoux, Theo James, Rashida Jones",A story about how synthetic humans can feel and even love and how the people they are involved with react to this concept.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTA5Nzg2MjEzNjleQTJeQWpwZ15BbWU4MDk2MTE2NzUz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,6.1,"6,641",tt6010628,movie,20 Jul 2018,N/A,Amazon Studios,N/A,True,,
27,Jimmy: The True Story of a True Idiot,2018–,N/A,20 Jul 2018,N/A,Comedy,N/A,N/A,"Akiyoshi Nakao, Tetsuji Tamayama, Hiroyuki Onoue, Seiji Rokkaku","In the 1980s, a simple-minded fool named Hideaki meets comedy legend Sanma, changes his name to Jimmy and becomes a comedic superstar.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNTkyNTNmMGQtODU5My00YTU0LWE4ZjAtZWNhYjE0NmVlNDM2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,44,tt6866914,series,,,,,True,1,
28,Dark Tourist,2018–,TV-MA,20 Jul 2018,40 min,Documentary,N/A,N/A,David Farrier,"From a nuclear lake to a haunted forest, New Zealand filmmaker and journalist David Farrier ('Tickled') visits unusual -- and often macabre -- tourism spots around the world.",English,New Zealand,N/A,https://m.media-amazon.com/images/M/MV5BYTA3MTYyNmQtN2IxMC00ZjUxLTk5MzYtMTliNmM0NzY1MWE4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"4,674",tt8725166,series,,,,,True,1,
29,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
30,The Stranger,1946,Not Rated,01 Aug 1946,95 min,"Crime, Drama, Film-Noir, Mystery, Thriller",Orson Welles,"Anthony Veiller (screenplay), Victor Trivas (adaptation), Decla Dunning (adaptation), Victor Trivas (original story)","Edward G. Robinson, Loretta Young, Orson Welles, Philip Merivale",An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi.,"English, Spanish, French",USA,Nominated for 1 Oscar. Another 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTExMDAzMDM0NzZeQTJeQWpwZ15BbWU3MDk3ODIzNzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.4,"21,654",tt0038991,movie,08 Feb 2000,N/A,RKO Pictures,N/A,True,,
31,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
32,Camarón: Flamenco y revolución,2018,N/A,01 Jun 2018,104 min,Documentary,Alexis Morante,"Alexis Morante, Raúl Santos","Camarón de la Isla, Juan Diego",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BYTVkZjM1N2UtZTM1My00NWY1LTgzZjQtY2RjMjUyZjA1NWI2XkEyXkFqcGdeQXVyMzI4Mjk0MzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,143,tt8067306,movie,N/A,N/A,Lolita Films,N/A,True,,
33,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
34,Selfless,2015,N/A,N/A,N/A,Drama,N/A,Vinny Cuevas,N/A,"A man's loss leads to an inadvertent gain. But not without being introduced to the obstacles of humanity, and intricacy of equality.",N/A,USA,N/A,N/A,"[{'Source': 'Rotten Tomatoes', 'Value': '19%'}]",N/A,N/A,N/A,tt4621950,movie,10 Nov 2015,N/A,Focus Features,N/A,True,,
35,She's Out of My League,2010,R,12 Mar 2010,104 min,"Comedy, Romance",Jim Field Smith,"Sean Anders, John Morris","Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel","An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.","English, Ukrainian",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTkwMTY5ODA1MF5BMl5BanBnXkFtZTcwODYyNzAxMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.4,"121,462",tt0815236,movie,22 Jun 2010,"$28,712,974",Paramount,N/A,True,,
36,The Joel McHale Show with Joel McHale,2018–,TV-MA,18 Feb 2018,30 min,Comedy,N/A,N/A,"Joel McHale, Paul Feig, Brad Stevens","Joel McHale, the snarky star of Community (2009), ridicules the silliest moments reality television, internet videos and TV from around the world have to offer. Each episode also features celebrity guests and a couple of sketches.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYTBkMjcyY2EtOGFjNS00MDllLTk3MTktNzExNGY1NWRmZGU2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"1,908",tt7895706,series,,,,,True,1,
37,Alive,1993,R,15 Jan 1993,120 min,"Adventure, Biography, Drama, Thriller",Frank Marshall,"Piers Paul Read (book), John Patrick Shanley (screenplay)","Ethan Hawke, Vincent Spano, Josh Hamilton, Bruce Ramsay",A Uruguayan rugby team stranded in the snow swept Andes are forced to use desperate measures to survive after a plane crash.,English,"USA, Canada",Nominated for 1 Primetime Emmy. Another 1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOGU2ZjkzNTAtMGE0NS00N2RmLTg5YWItMDA5NjM4OWJlNWM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}]",N/A,7.1,"48,449",tt0106246,movie,08 Oct 2002,N/A,Buena Vista,N/A,True,,
38,Going for Gold,2018,Unrated,17 May 2018,93 min,"Drama, Family, Sport",Clay Glen,"Clay Glen, Kristian Leadbeater (additional story)","Kelli Berglund, Emily Morris, Terry Rogers, Ruth Natalie Fallon","Seventeen year old, Emma joins a high school cheerleading team when she moves to Australia with her dad who is a former Air Force Officer.",English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BYTkyYTk3Y2UtNDEyYy00NjhiLThhMTQtMmM3ZTBkMDYwNWZhXkEyXkFqcGdeQXVyNTU0NDY1NTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,352,tt7104578,movie,N/A,N/A,Marvista Entertainment,N/A,True,,
39,Beauty and the Beast,1987–1990,TV-PG,05 Sep 1987,60 min,"Crime, Fantasy, Drama, Romance",N/A,Ron Koslow,"Ron Perlman, Roy Dotrice, Jay Acovone, Linda Hamilton","The adventures and romance of a sensitive and cultured lion-man and a crusading assistant district attorney in Manhattan, New York City.",English,USA,Won 1 Golden Globe. Another 11 wins & 34 nominations.,https://m.media-amazon.com/images/M/MV5BMzUzMjE4MDE2M15BMl5BanBnXkFtZTcwOTU2NjU0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"5,872",tt0092319,series,,,,,True,3,
40,Flight,2012,R,02 Nov 2012,138 min,"Drama, Thriller",Robert Zemeckis,John Gatins,"Nadine Velazquez, Denzel Washington, Carter Cabassa, Adam C. Edwards","An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",English,"USA, United Arab Emirates",Nominated for 2 Oscars. Another 15 wins & 43 nominations.,https://m.media-amazon.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.3,"312,619",tt1907668,movie,05 Feb 2013,"$89,400,000",Paramount Pictures,N/A,True,,
41,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
42,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
43,Jim Jefferies: This Is Me Now,2018,TV-MA,13 Jul 2018,70 min,Comedy,Scott Zabielski,Jim Jefferies,Jim Jefferies,"The gleefully irreverent Jefferies skewers ""grabby"" celebrities, political hypocrisy and his own ill-advised career moves in a brash stand-up special.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzAxZDNlMmEtYjk2Ny00YzRjLTkwOTQtMDNkYmExMDZhNGNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"3,046",tt8617844,movie,13 Jul 2018,N/A,Netflix,N/A,True,,
44,How It Ends,2018,TV-MA,13 Jul 2018,113 min,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller",David M. Rosenthal,Brooks McLaren,"Theo James, Kat Graham, Nancy Sorel, Nicole Ari Parker",A desperate man tries to return home to his pregnant fiancée after a mysterious apocalyptic event turns everything to chaos.,English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BMjMwOTg0MzU4MV5BMl5BanBnXkFtZTgwODk2NjY3NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.0,"40,325",tt5246700,movie,13 Jul 2018,N/A,Netflix,N/A,True,,
45,Romina,2018,N/A,13 Jul 2018,77 min,"Horror, Thriller",Diego Cohen,"Diego Cohen (story), Diego Cohen","Francisca Lozano, Arantza Ruiz, Oliver Nava, Claudia Zepeda",A shocking assault inspires horrific violence when a group of teens encounters a girl from their school while camping in a remote spot.,Spanish,Mexico,1 nomination.,https://m.media-amazon.com/images/M/MV5BODE1YjJlYTAtYmJmYy00ZjNlLWE1MTUtNmM5MmRmMDgyMDNkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxMTQ4MTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.2/10'}]",N/A,2.2,"1,628",tt6090044,movie,N/A,N/A,N/A,N/A,True,,
46,Inferno,2016,PG-13,28 Oct 2016,121 min,"Action, Crime, Drama, Mystery, Thriller",Ron Howard,"Dan Brown (based in part on the novel by), David Koepp (screenplay by)","Tom Hanks, Felicity Jones, Omar Sy, Irrfan Khan","When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.","English, French, Italian, Turkish","USA, Hungary",4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTUzNTE2NTkzMV5BMl5BanBnXkFtZTgwMDAzOTUyMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.2,"147,825",tt3062096,movie,24 Jan 2017,"$34,307,024",Sony Pictures,N/A,True,,
47,Fury,2014,R,17 Oct 2014,134 min,"Action, Drama, War",David Ayer,David Ayer,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña","A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.","English, German","USA, China, UK",5 wins & 23 nominations.,https://m.media-amazon.com/images/M/MV5BMjA4MDU0NTUyN15BMl5BanBnXkFtZTgwMzQxMzY4MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.6,"403,270",tt2713180,movie,27 Jan 2015,"$72,609,225",Sony Pictures,N/A,True,,
48,Baby Ballroom,2017–,N/A,27 Apr 2017,60 min,Documentary,N/A,N/A,"Kim Hillyard, Jane Bullock, Warren Bullock","Documentary series going behind the scenes at the Zig Zag Dance Factory in Wolverhampton, England run by coaches Warren Bullock and Jane Bullock.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZDE5MzE3NGYtYjE1NC00NWMzLWJlODktNzk5MGQ1NWIyM2E4XkEyXkFqcGdeQXVyODc3Mjc1NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,105,tt8159960,series,,,,,True,2,
49,Drug Lords,2018–,TV-MA,19 Jan 2018,42 min,Documentary,N/A,N/A,"Quinn Dalton, Jordan Lawson, Razor Rocco Rizzotti, Winter Dunn",Documentary series examining drug cartels and kingpins from around the world.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzQxYzZiN2QtNTA2ZC00YWVmLWE3ZjYtNDM2OTZjNDRmNDIzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,852,tt7935522,series,,,,,True,2,
50,Dark Net,2016–,TV-MA,21 Jan 2016,30 min,Documentary,N/A,Mati Kochavi,"Lauren Terp, Kristie, Drew, Anisha Vora","Explores the furthest reaches of the internet and the people who frequently use it, providing a revealing and cautionary look inside a vast cyber netherworld.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTgxODgxMjI5N15BMl5BanBnXkFtZTgwMDc4MDc5NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,333",tt5397520,series,,,,,True,2,
51,First Team: Juventus,2018–,N/A,16 Feb 2018,40 min,"Reality-TV, Sport",N/A,N/A,"Massimiliano Allegri, Andrea Barzagli, Mehdi Benatia, Federico Bernardeschi",Follow renowned soccer club Juventus on and off the pitch as they attempt to win a seventh straight Italian title and achieve Champions League glory.,Italian,USA,N/A,https://m.media-amazon.com/images/M/MV5BMWUyYWEzNjYtOTRiYS00ZDg0LThjYWYtYTFjOTc0ODExYjQ3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"1,454",tt7924812,series,,,,,True,N/A,
