,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
10,What Do Artists Do All Day? Derek Boshier,2015,N/A,24 Aug 2015,N/A,Documentary,N/A,N/A,N/A,N/A,English,UK,N/A,N/A,[],N/A,N/A,N/A,tt4995806,series,,,,,True,N/A,
11,Swearnet: The Movie,2014,NC-17,12 Sep 2014,112 min,Comedy,Warren P. Sonoda,"Mike Smith, John Paul Tremblay, Robb Wells","Robb Wells, John Paul Tremblay, Mike Smith, Patrick Roach","Fed up with being censored in their post-Trailer Park Boys lives, the out of work stars/world-renowned 'swearists', Mike Smith, Robb Wells and John Paul Tremblay decide to start their own uncensored network on the internet.",English,Canada,1 win.,https://m.media-amazon.com/images/M/MV5BMjM3MzU2NjM2OF5BMl5BanBnXkFtZTgwMTI2MzE1MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '18/100'}]",18,5.9,"2,243",tt2380564,movie,N/A,N/A,Dada Films,N/A,True,,
12,The Magic School Bus,1994–1997,TV-Y,10 Sep 1994,30 min,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",N/A,"Joanna Cole, Bruce Degen, Kristin Laskas Martin","Lily Tomlin, Daniel DeSanto, Erica Luttrell, Tara Meyer",An eccentric school-teacher takes her class on wondrous educational field trips with the help of a magical school bus.,English,"Canada, USA",3 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BNzI3YTI5NzQtNWIwOC00NTM3LWJjODEtYzE0YjcyZTc3ODg1XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"7,582",tt0108847,series,,,,,True,4,
13,Goosebumps,1995–1998,TV-Y7,27 Oct 1995,22 min,"Family, Fantasy, Horror, Mystery, Thriller",N/A,R.L. Stine,"R.L. Stine, Kathryn Short, Cody Jones, Scott Wickware",A series of scary anthology stories based on the children's books by R.L. Stine. Series one was hosted by R.L. Stine.,English,Canada,2 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMmViMGI3NDYtYzIzNi00OTVlLWI1YjMtNDJiNmVmMzE3NjUxXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"11,106",tt0111987,series,,,,,True,4,
14,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
15,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
16,Ralphie May: Unruly,2015,N/A,27 Feb 2015,N/A,Comedy,John Asher,Ralphie May,Ralphie May,"Filmed in front of a raucous crowd, comedian Ralphie May unleashes his hilariously raunchy perspective in his first Netflix original stand-up special.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWVhZDViYjUtNDE4MC00YTJmLWE2MzUtZTYwOWE2ZDg5ZWQxXkEyXkFqcGdeQXVyMzcyNTQ5NzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,334,tt4454406,movie,27 Feb 2015,N/A,Netflix,N/A,True,,
17,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
18,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
19,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
20,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
21,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
22,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
23,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
24,Iliza Shlesinger: Freezing Hot,2015,TV-MA,23 Jan 2015,71 min,"Documentary, Comedy",Samuel Brownfield,Iliza Shlesinger,Iliza Shlesinger,"Smart and brazen comedian Iliza Shlesinger applies her fresh, laugh-out-loud perspective to the universal struggles between men and women.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDE4ODU1NjY0OF5BMl5BanBnXkFtZTgwNTY1NzA0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"2,052",tt4073952,movie,23 Jan 2015,N/A,Netflix,N/A,True,,
25,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
26,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
27,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
28,Dragons: Dawn of the Dragon Racers,2014,N/A,11 Nov 2014,26 min,"Animation, Short, Adventure, Comedy, Family, Fantasy","Elaine Bogan, John Sanford","Cressida Cowell (based upon the ""How to Train Your Dragon"" book series by), Art Edler Brown, Douglas Sloan","Jay Baruchel, America Ferrera, Christopher Mintz-Plasse, T.J. Miller","Dawn of the Dragon Racers, is a short film describing how Dragon Racing was invented. Hiccup and all his friends from the dragon academy fight about who really invented it.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BNDRhYTRjOTQtMGYzYy00MjI5LWI1Y2EtMjQ3OWVlMjk0NmE5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"1,837",tt4191768,movie,N/A,N/A,DreamWorks Animation,N/A,True,,
29,Bill Burr: I'm Sorry You Feel That Way,2014,TV-MA,05 Dec 2014,80 min,Comedy,Jay Karas,Bill Burr,Bill Burr,Comedian Bill Burr's 2014 stand-up comedy special.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTk0MzI5MjAxNV5BMl5BanBnXkFtZTgwNDY1NzA0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.4,"6,094",tt3823690,movie,05 Dec 2014,N/A,Netflix,N/A,True,,
30,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
31,Chelsea Peretti: One of the Greats,2014,N/A,13 Jun 2014,74 min,Comedy,Lance Bangs,Chelsea Peretti,"Chelsea Peretti, William Armando, Eric Andrew, Geo Espilanty",Writer/actress/comedienne Chelsea Peretti presents a re-imagining of the hour-long special.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjE2NTc3MzEzOV5BMl5BanBnXkFtZTgwNzY1NzA0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.0,"2,005",tt3804556,movie,14 Nov 2014,N/A,Netflix,N/A,True,,
32,Virunga,2014,Not Rated,07 Nov 2014,100 min,"Documentary, War",Orlando von Einsiedel,Orlando von Einsiedel,"André Bauma, Emmanuel de Merode, Mélanie Gouby, Rodrigue Mugaruka Katembo",A team of brave individuals risk their lives to protect the last mountain gorillas.,"English, French, Swahili","UK, Congo",Nominated for 1 Oscar. Another 20 wins & 24 nominations.,https://m.media-amazon.com/images/M/MV5BMjI0NzE5Mzc5OF5BMl5BanBnXkFtZTgwODk3Njg0MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95,8.2,"9,442",tt3455224,movie,N/A,N/A,Netflix,N/A,True,,
33,E-Team,2014,N/A,22 Oct 2014,88 min,Documentary,"Katy Chevigny, Ross Kauffman",N/A,Anna Neistat,"When atrocities are committed in countries held hostage by ruthless dictators, Human Rights Watch sends in the E-Team (Emergencies Team), a collection of fiercely intelligent individuals ...","English, German, Arabic, Russian, French",USA,4 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMjI4NDExNDYxNF5BMl5BanBnXkFtZTgwMDkyOTczMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.2,706,tt3456090,movie,N/A,N/A,Netflix,N/A,True,,
34,Wyatt Cenac: Brooklyn,2014,N/A,21 Oct 2014,67 min,Comedy,Wyatt Cenac,Wyatt Cenac,"Wyatt Cenac, James Godwin",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDlhY2M0M2UtMmRlZC00Nzk4LWFjZTAtZWU2NTBhYTM4YzAwXkEyXkFqcGdeQXVyNDU5OTYyOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,178,tt4286560,movie,N/A,N/A,N/A,N/A,True,,
35,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
36,Julius Jr.,2013–,N/A,29 Sep 2013,11 min,Animation,N/A,"Holly Huckins, Katherine Sandford","Steph Lynn Robinson, Loretta Jafelice, Julie Lemieux, Elizabeth Daily","Julius Jr. is an animated preschool series based on the Paul Frank family of characters. Julius Jr. is a funky monkey with a penchant for invention. Together with his best pals, Worry Bear,...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTUwNzgyMTg0OF5BMl5BanBnXkFtZTgwNDYxODA2NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,64,tt3216154,series,,,,,True,2,
37,Ultimate Airport Dubai,2013–,N/A,05 Sep 2013,N/A,Documentary,N/A,N/A,N/A,"Less than 55 years ago, Dubai International Airport was a vast desert of sand. Today, it is a modern mecca of international air travel. With a staggering 344,000 flights, 57 million ...",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZTQyMGNkYzItZDI1Yi00NDQxLTlkZDktOWNlYWRmMjU3OTg5XkEyXkFqcGdeQXVyNDg1NjA2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,208,tt3324124,series,,,,,True,3,
38,Print the Legend,2014,N/A,26 Sep 2014,100 min,"Documentary, Biography, Drama, History","Luis Lopez, Clay Tweel","Steven Klein, Steven Klein, Luis Lopez, Luis Lopez, Clay Tweel, Clay Tweel","Chris Anderson, Bruce Bradshaw, Craig Broady, Bill Buel","Follows the people racing to bring the hot new 3D printing technology to your home, documenting the ""Macintosh Moment"" of this revolution and exploring what it takes to live the American Dream.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc3MDk5Nzg1NV5BMl5BanBnXkFtZTgwOTA1NTE3MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,758",tt3557464,movie,N/A,N/A,Audax Films,N/A,True,,
39,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
40,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
41,The Secret,2006,PG,13 Sep 2007,90 min,Documentary,Drew Heriot,Rhonda Byrne (original concept),"Bob Proctor, Joe Vitale, John Assaraf, Loral Langemeier","Interviews with self-proclaimed authors, philosophers, scientists, with an in-depth discussion of visualizing your goals. The audience is shown how they can learn and use 'The Secret' in their everyday lives.",English,"Australia, USA",N/A,https://m.media-amazon.com/images/M/MV5BMGE0OWUyMTktNjNjNi00ZTg0LWE1N2MtMzEzYjdhNjM5M2M5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,"11,709",tt0846789,movie,26 Mar 2006,N/A,Gravitas,N/A,True,,
42,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
43,Mission Blue,2014,N/A,15 Aug 2014,95 min,"Documentary, Drama","Robert Nixon, Fisher Stevens","Mark Monroe, Jack Youngelson","Barbara Block, James Cameron, Michael deGruy, Sylvia Earle","Feature documentary about legendary oceanographer, marine biologist, environmentalist and National Geographic Explorer-in-Residence Sylvia Earle, and her campaign to create a global network of protected marine sanctuaries.",English,"USA, Bermuda, Ecuador",1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTExNzg4MDU2OTleQTJeQWpwZ15BbWU4MDk0MTY5MjIx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,8.0,"1,385",tt2004304,movie,N/A,N/A,True Blue Films,N/A,True,,
44,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
45,The Battered Bastards of Baseball,2014,N/A,11 Jul 2014,80 min,"Documentary, Sport","Chapman Way, Maclain Way",N/A,"Todd Field, Kurt Russell, Rob Nelson, Jim Swanson","The Battered Bastards of Baseball is one of baseball's last great, unheralded true stories. In 1973, Hollywood veteran Bing Russell (best known for playing Deputy Clem on ""Bonanza"") created...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjE0NDQwNTU2NF5BMl5BanBnXkFtZTgwNDg1MDUyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,8.0,"2,612",tt3445270,movie,N/A,N/A,Netflix,N/A,True,,
46,Trailer Park Boys: Live in F**kin' Dublin,2014,N/A,01 Jun 2014,81 min,Comedy,"Jeremy Chipper, Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells","John Paul Tremblay, Robb Wells, Mike Smith, Patrick Roach",The boys head to Ireland after winning a contest to see Rush but are arrested by immigration and must perform a community service puppet show.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BM2NkMmNiYzMtMjVkYS00ODc2LWJkYzQtZmRmMmFhNWVkOTFhXkEyXkFqcGdeQXVyMTkwNDUxOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"1,287",tt3580052,movie,N/A,N/A,N/A,N/A,True,,
47,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
48,Jim Jefferies: BARE,2014,TV-MA,29 Aug 2014,77 min,Comedy,Shannon Hartman,Jim Jefferies,Jim Jefferies,Covers topics from gun control to family values.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmRlNDE0ZDctZTMwYi00MWQ2LTk2MzctNjdjODM0YWY1MjNmXkEyXkFqcGdeQXVyMjI0MjUyNTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"4,469",tt3958494,movie,29 Aug 2014,N/A,Netflix,N/A,True,,
49,Mortified Nation,2013,N/A,05 Nov 2013,84 min,Documentary,Michael Mayer,N/A,"Jenny Bergman, Alexander Burke, Cecil Castellucci, Tynan DeLong","Adults share their most embarrassing teenage writings and art in front of total strangers at Mortified stage shows across the country, as the filmmakers explore what the show's popularity says about all of us.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODU3ODMzNTU3OV5BMl5BanBnXkFtZTgwMzA2ODczMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,919,tt2281365,movie,N/A,N/A,Brainstorm Media,N/A,True,,
50,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
51,Ferris Bueller's Day Off,1986,PG-13,11 Jun 1986,103 min,Comedy,John Hughes,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones","A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.","English, German",USA,Nominated for 1 Golden Globe. Another 1 win.,https://m.media-amazon.com/images/M/MV5BMDA0NjZhZWUtNmI2NC00MmFjLTgwZDYtYzVjZmNhMDVmOTBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.8,"301,894",tt0091042,movie,19 Oct 1999,N/A,Paramount Pictures,N/A,True,,
52,Breaking Bad,2008–2013,TV-MA,20 Jan 2008,49 min,"Crime, Drama, Thriller",N/A,Vince Gilligan,"Bryan Cranston, Anna Gunn, Aaron Paul, Betsy Brandt",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"English, Spanish",USA,Won 2 Golden Globes. Another 151 wins & 234 nominations.,https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,9.5,"1,325,388",tt0903747,series,,,,,True,5,
53,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
54,Shrek 2,2004,PG,19 May 2004,93 min,"Animation, Adventure, Comedy, Family, Fantasy, Romance","Andrew Adamson, Kelly Asbury, Conrad Vernon","William Steig (based upon the book by), Andrew Adamson (story by), Andrew Adamson (screenplay by), Joe Stillman (screenplay by), J. David Stem (screenplay by), David N. Weiss (screenplay by), Cody Cameron (additional dialogue), Walt Dohrn (additional dialogue), Chris Miller (additional dialogue), David P. Smith (additional dialogue), Conrad Vernon (additional dialogue)","Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews",Princess Fiona's (Cameron Diaz's) parents invite her and Shrek (Mike Myers) to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,English,USA,Nominated for 2 Oscars. Another 18 wins & 50 nominations.,https://m.media-amazon.com/images/M/MV5BMDJhMGRjN2QtNDUxYy00NGM3LThjNGQtMmZiZTRhNjM4YzUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.2,"399,476",tt0298148,movie,02 Nov 2004,"$436,471,036",Dreamworks,N/A,True,,
55,Mitt,2014,N/A,24 Jan 2014,94 min,"Documentary, Biography, Family, News",Greg Whiteley,Greg Whiteley,"Mitt Romney, Candy Crowley, Eric Draper, Jim Lehrer",Mitt Romney and his family are followed through their U.S. Presidential campaigns.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDkwMzA0NzIzMV5BMl5BanBnXkFtZTgwMjY1ODY3MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.9,"2,314",tt1757800,movie,N/A,N/A,Netflix,N/A,True,,
56,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
57,Fireplace for your Home: Christmas Music,2010,N/A,01 Sep 2010,46 min,N/A,N/A,N/A,N/A,"Our #1 Seller, enjoy the sounds of a crackling fireplace mixed with tasteful renditions of all-time Holiday favorites such as Jingle Bells, and Joy to the World.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzA4NTA5NzM3MV5BMl5BanBnXkFtZTgwOTY2NzA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,18,tt2573268,movie,N/A,N/A,N/A,N/A,True,,
58,The Short Game,2013,PG,20 Sep 2013,99 min,"Documentary, Sport",Josh Greenbaum,N/A,"Amari Avery, Jed Dy, Allan Kournikova, Zamokuhle Nxasana",The best 7 year old golfers from around the world descend on the world famous Pinehurst Golf course in North Carolina to determine the next world champion and who might become golf's next ...,"English, French",USA,4 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ1NDYxNTU0Nl5BMl5BanBnXkFtZTcwNDg0MDMyOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,7.4,"1,231",tt2466830,movie,09 Jun 2014,"$38,856",IDP/Samuel goldwyn Films,N/A,True,,
59,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
60,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
61,Being Elmo: A Puppeteer's Journey,2011,PG,27 Apr 2012,80 min,Documentary,"Constance Marks, Philip Shane","Philip Shane, Justin Weinstein","Whoopi Goldberg, Bill Barretta, Tau Bennett, Fran Brill",The Muppet Elmo is one of the most beloved characters among children across the globe. Meet the unlikely man behind the puppet - the heart and soul of Elmo - Kevin Clash.,English,USA,8 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4ODk3MDMwOF5BMl5BanBnXkFtZTcwMjQ5MzI4Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.6,"6,583",tt1787660,movie,03 Apr 2012,"$302,652",Submarine Deluxe,N/A,True,,
